Numer tury, Liczba ¿ywych owiec
1,15
2,15
3,15
4,14
5,14
6,14
7,13
8,13
9,13
10,12
11,12
12,12
13,12
14,11
15,11
16,11
17,11
18,11
19,10
20,10
21,10
22,10
23,10
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,8
44,8
45,8
46,8
47,7
48,7
49,7
50,7
51,7
52,6
53,6
54,6
55,6
56,6
57,5
58,5
59,5
60,5
61,5
62,4
63,4
64,4
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
